collection_slug,identifier,event_type,order_hash,chain,protocol_address,closing_date,closing_date_iso,quantity,seller,buyer,payment_quantity,payment_token,payment_decimals,payment_symbol,payment_symbol_amount,transaction_hash,event_timestamp,event_timestamp_iso
pudgypenguins,152,sale,,ethereum,,1742489675,2025-03-20T16:54:35+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x1ea27bce786a81022dfc156059771e8d3279a9a6,9660000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9.66,0xd1943a65d9b431e5afa0454cfeea4b462c975f89ad9c245018bd72964cbb4531,1742489675,2025-03-20 16:54:35+00:00
pudgypenguins,152,sale,,ethereum,,1740724211,2025-02-28T06:30:11+00:00Z,1,0x1992a41693310eb9434b5e3ecb564f4739fcc677,0x29469395eaf6f95920e59f858042f0e28d98a20b,8937856785714288000,0x0000000000000000000000000000000000000000,18,ETH,8.937856785714288,0x5322b7eeb19dc891b7e1a9d44d2717b65c5e02a5277b9fd1137cdcaad4f7e2d9,1740724211,2025-02-28 06:30:11+00:00
pudgypenguins,152,sale,,ethereum,,1740722015,2025-02-28T05:53:35+00:00Z,1,0x6f0037ffe1506f82fc8064bc8f6c2dc22ebb711f,0x1992a41693310eb9434b5e3ecb564f4739fcc677,8810000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8.81,0x48dc5e93ed459f70ac763659a1080b08f0d7da8ee7d8dbb1de4aea2e8aacafa8,1740722015,2025-02-28 05:53:35+00:00
pudgypenguins,152,sale,,ethereum,,1738256831,2025-01-30T17:07:11+00:00Z,1,0x5083980af29001f0ea9898da4911a0e80833f6a2,0xf7006abe701461e1f3f81e404f21a556bb93f76a,11010000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,11.01,0xb1d36998247dac88fe7b2d5339fe6566a1dfe3f1dda1d0a0e42e8fc346131404,1738256831,2025-01-30 17:07:11+00:00
pudgypenguins,152,sale,,ethereum,,1738029935,2025-01-28T02:05:35+00:00Z,1,0x472bb3ab8ae9df4fcd6adcf20cf25054b0cbe031,0x29469395eaf6f95920e59f858042f0e28d98a20b,12400000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,12.4,0xfe725306dc23a95db8e1255d8efac1776e4d4eae731de09ff9d37b68920afd53,1738029935,2025-01-28 02:05:35+00:00
pudgypenguins,152,sale,,ethereum,,1735262783,2024-12-27T01:26:23+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb65b4fd4dcb639b400fbd3d0ee5d272b5e49c2a8,22920000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,22.92,0xacdf21530c3d28bcfe5a529fd57e5732a6fba52eea1debeb91477ba8594ed76e,1735262783,2024-12-27 01:26:23+00:00
pudgypenguins,152,sale,,ethereum,,1735152191,2024-12-25T18:43:11+00:00Z,1,0x3ed0b065e6fd906ca20e4ebe080ea72c4325339a,0x29469395eaf6f95920e59f858042f0e28d98a20b,21940000000000000000,0x0000000000000000000000000000000000000000,18,ETH,21.94,0x279ef3d3f57e5125ae66ca366222c14ddd9feb0d0c9feaa487b36af5b0b55294,1735152191,2024-12-25 18:43:11+00:00
pudgypenguins,152,sale,0xcfa2d72d973bb2b26fcf19b12a4e85415f9266ac619fd880de7692de7106ce09,ethereum,0x0000000000000068f116a894984e2db1123eb395,1735148051,2024-12-25T17:34:11+00:00Z,1,0x75750d0bba74ecb961fa588873a0ef69c54361c1,0x3ed0b065e6fd906ca20e4ebe080ea72c4325339a,39000000000000000000,0x0000000000000000000000000000000000000000,18,ETH,39.0,0x2f9625bd209eacbd3087dd3d2925499fad3bf706676b80645984e9d1ccb9125b,1735148051,2024-12-25 17:34:11+00:00
pudgypenguins,152,sale,0x811fb384d4e3db9f72d19c524ea17e846701b8d5f41abc5ae828abc8842e3b2b,ethereum,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1695900959,2023-09-28T11:35:59+00:00Z,1,0xeee899b6521db73e94f4b9224cdf3db0010fa334,0x75750d0bba74ecb961fa588873a0ef69c54361c1,5200000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,5.2,0x4bf8fdc93dd7dcc6211f17563c8e711c41f11a09aee554fc0485bf0084531205,1695900959,2023-09-28 11:35:59+00:00
pudgypenguins,152,sale,,ethereum,,1695762179,2023-09-26T21:02:59+00:00Z,1,0x3811866a85b0e42b437b36bb4fd2f05e4c3b16f8,0xba2039974a2e088344b4dc804da8ef88ae00edd9,4880000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,4.88,0x9ccebbfba007ced31267738daa1b548b523660305831b0a2801b1195e94638cf,1695762179,2023-09-26 21:02:59+00:00
pudgypenguins,152,sale,,ethereum,,1694196347,2023-09-08T18:05:47+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x3811866a85b0e42b437b36bb4fd2f05e4c3b16f8,3960000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,3.96,0xd88c9985bad25a98606ccdc14796fe40125b02103533e566a6d8cfb748e2bc4a,1694196347,2023-09-08 18:05:47+00:00
pudgypenguins,152,sale,,ethereum,,1694193659,2023-09-08T17:20:59+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x77e3e957082ca648c1c5b0f3e6aec00ab1245186,3970000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,3.97,0xf228d07910f6bb78f74a90cbc1c8e87fde66dfc66538d9209ee916d6a7ed77c5,1694193659,2023-09-08 17:20:59+00:00
pudgypenguins,152,sale,,ethereum,,1694149763,2023-09-08T05:09:23+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0xc58d63d59ad68930c9fdff6f1ac479c5c9941ef4,3990000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,3.99,0xba2b40177e309d36d3133a4c9e4de61a2c5f4ae6711c2863d0a50e1be02720b6,1694149763,2023-09-08 05:09:23+00:00
pudgypenguins,152,sale,,ethereum,,1694138375,2023-09-08T01:59:35+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x5f1ee29361206f1a129e808736f11598356c6031,3960000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,3.96,0x659ddaefc3cf15c23e700e35cee2a95030a5b3a249b5f56c2dff99d5320c5848,1694138375,2023-09-08 01:59:35+00:00
pudgypenguins,152,sale,,ethereum,,1694129195,2023-09-07T23:26:35+00:00Z,1,0x29469395eaf6f95920e59f858042f0e28d98a20b,0x82bbcac5a8b81368a4a96f0265cb40e46020a1e1,3960000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,3.96,0xe62af29cd7ff7e0ccdc37aff2023d595dd7e6bf91ed95c1725613b5e6a174292,1694129195,2023-09-07 23:26:35+00:00
pudgypenguins,152,sale,,ethereum,,1692978035,2023-08-25T15:40:35+00:00Z,1,0x8b3ed5d38e3f12d936611181f97a7f359ddcf5d0,0x196f239229aae65883802b5bb512e17084147ff6,3920000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,3.92,0xd999c0af7fe0ace472a296557fefe66c4b02c281c0c6202091dc69e551f487cc,1692978035,2023-08-25 15:40:35+00:00
pudgypenguins,152,sale,,ethereum,,1692360191,2023-08-18T12:03:11+00:00Z,1,0x34dceb3487614b4f357f548b4a0e58f0e7ba3d93,0x8b3ed5d38e3f12d936611181f97a7f359ddcf5d0,3650000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,3.65,0xcb77140f51526735937d92f7cd0c5e5ea2b4f4f71f5edb6762866517b9459db1,1692360191,2023-08-18 12:03:11+00:00
pudgypenguins,152,sale,0xce76f824563031a10c4b0eb9f11c394a4ca2190bc662db17ea9361e6d795353c,ethereum,0x00000000006c3852cbef3e08e8df289169ede581,1658929759,2022-07-27T13:49:19+00:00Z,1,0x25cf64beb03949c6283e719a67434ec64a564534,0x34dceb3487614b4f357f548b4a0e58f0e7ba3d93,2250000000000000000,0x0000000000000000000000000000000000000000,18,ETH,2.25,0x9643b24c52086ea7ef0eb1237b58a2425b555856e785930903cd7f72e8b650ac,1658929759,2022-07-27 13:49:19+00:00
pudgypenguins,152,sale,0xce76f824563031a10c4b0eb9f11c394a4ca2190bc662db17ea9361e6d795353c,ethereum,0x00000000006c3852cbef3e08e8df289169ede581,1658929759,2022-07-27T13:49:19+00:00Z,1,0x25cf64beb03949c6283e719a67434ec64a564534,0x34dceb3487614b4f357f548b4a0e58f0e7ba3d93,2250000000000000000,0x0000000000000000000000000000000000000000,18,ETH,2.25,,1658929759,2022-07-27 13:49:19+00:00
pudgypenguins,152,sale,0x01c536c5fa686793fc84d02dd34625b963059efdd2fdf9f93f5d8b0f67d9794c,ethereum,0x00000000006c3852cbef3e08e8df289169ede581,1658846070,2022-07-26T14:34:30+00:00Z,1,0x78da84722b7a7cb437b1bfa15effea8a5e9cd239,0x25cf64beb03949c6283e719a67434ec64a564534,1800000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,1.8,0x64f3b3265c9af040e3c0f2dccbbf2b76b28eef8580bcb353a4f258c282c51d55,1658846070,2022-07-26 14:34:30+00:00
pudgypenguins,152,sale,0x01c536c5fa686793fc84d02dd34625b963059efdd2fdf9f93f5d8b0f67d9794c,ethereum,0x00000000006c3852cbef3e08e8df289169ede581,1658846070,2022-07-26T14:34:30+00:00Z,1,0x78da84722b7a7cb437b1bfa15effea8a5e9cd239,0x25cf64beb03949c6283e719a67434ec64a564534,1800000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,1.8,,1658846070,2022-07-26 14:34:30+00:00
pudgypenguins,152,sale,0x7d489e9b64564dc332226041f5562d817953833cfc02f3b7c103eb008bb5d671,ethereum,0x00000000006c3852cbef3e08e8df289169ede581,1658468042,2022-07-22T05:34:02+00:00Z,1,0xb0161d9457f9e4ebee1bf700daa0001126158c68,0x78da84722b7a7cb437b1bfa15effea8a5e9cd239,2800000000000000000,0x0000000000000000000000000000000000000000,18,ETH,2.8,0x20f8d42c3841ab1ef49b7b8a7604e8467d90849b197db4ed0426ab912255d94b,1658468042,2022-07-22 05:34:02+00:00
pudgypenguins,152,sale,0x7d489e9b64564dc332226041f5562d817953833cfc02f3b7c103eb008bb5d671,ethereum,0x00000000006c3852cbef3e08e8df289169ede581,1658468042,2022-07-22T05:34:02+00:00Z,1,0xb0161d9457f9e4ebee1bf700daa0001126158c68,0x78da84722b7a7cb437b1bfa15effea8a5e9cd239,2800000000000000000,0x0000000000000000000000000000000000000000,18,ETH,2.8,,1658468042,2022-07-22 05:34:02+00:00
pudgypenguins,152,sale,,ethereum,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,1640555004,2021-12-26T21:43:24+00:00Z,1,0x10451db28fdc8274562e30846e2acf78fad9c6d6,0xb0161d9457f9e4ebee1bf700daa0001126158c68,748000000000000000,0x0000000000000000000000000000000000000000,18,ETH,0.748,0xdf35285587ca7a9444af287a4a51bb84395cbb238a63f5b82c7e38b838edab5c,1640555004,2021-12-26 21:43:24+00:00
pudgypenguins,152,sale,,ethereum,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,1637006134,2021-11-15T19:55:34+00:00Z,1,0x15296589df4156703d25475ea9b1039030acfaeb,0x10451db28fdc8274562e30846e2acf78fad9c6d6,1490000000000000000,0x0000000000000000000000000000000000000000,18,ETH,1.49,0xe9777e6cd509f77c5d95625418282a77e39405947c809c326620c9357f00010c,1637006134,2021-11-15 19:55:34+00:00
pudgypenguins,537,sale,,ethereum,,1741011791,2025-03-03T14:23:11+00:00Z,1,0x516d8741f7a3ccf96f2c2e6516805913741beec3,0x8634059340b73ae0455dfbe6bf4c7eb127aa8492,10060000000000000000,0x0000000000000000000000000000000000000000,18,ETH,10.06,0x055c65e0fe6e6d463e277568a37f807530d906b6308b6aea325534fc1732aa7a,1741011791,2025-03-03 14:23:11+00:00
