identifier,prediction_period_count,historical_period_count_6m,historical_period_count_3m,historical_period_count_1m,total_count
152,2,8,5,1,27
537,5,8,7,3,27
583,1,7,7,4,27
787,4,5,3,2,29
1036,3,3,2,2,14
1055,3,8,7,1,15
1115,1,3,2,2,13
1349,1,5,4,2,33
1396,1,5,5,2,11
1469,3,5,4,2,14
1558,4,8,5,4,21
1810,1,4,4,3,15
1911,2,4,4,4,26
2045,2,14,12,1,39
2310,6,6,5,4,56
2341,1,5,5,3,29
2567,2,6,6,6,29
2664,1,9,5,2,25
2703,2,9,4,1,31
2738,2,3,3,2,12
3184,2,8,5,5,15
3193,2,14,14,1,52
3308,2,3,3,3,15
3382,1,3,2,2,8
3593,1,5,3,3,20
3843,4,5,2,1,29
4010,1,4,4,1,11
4378,2,5,2,2,25
4480,1,7,6,1,18
4871,2,7,6,3,12
5162,1,7,7,2,35
5270,3,4,1,1,11
5568,1,3,3,2,17
5943,1,11,6,5,18
5977,3,13,8,4,20
6048,1,7,5,3,75
6260,2,3,3,3,16
6556,2,9,7,2,28
6739,1,25,25,6,46
6896,1,3,2,1,23
7123,1,3,2,2,19
7202,2,13,4,1,20
7443,2,4,3,1,23
7474,1,7,5,1,13
7542,1,17,15,2,21
7636,2,7,7,6,20
7657,5,3,1,1,44
7751,3,11,11,4,17
7941,8,4,4,2,18
8104,3,3,3,1,12
8123,1,4,2,2,9
8333,2,9,5,2,33
8472,2,18,14,8,27
8483,2,3,2,2,34
8586,1,3,2,2,18
