id,Prediction Consistency,Hallucination Persistence,Market Interpretation Accuracy,User-Friendliness,Knowledge Utilization
152,70,85,75,80,78
537,70,85,75,80,78
583,70,85,75,80,78
787,75,85,80,90,85
1036,85,90,80,75,70
1055,85,90,80,75,85
1115,85,90,80,75,85
1349,70,85,75,80,78
1396,70,85,75,80,78
1469,75,85,80,90,85
1558,70,85,75,80,78
1810,85,90,80,75,85
1911,85,90,80,75,88
2045,70,85,75,80,78
2310,70,85,75,80,78
2341,70,85,75,80,78
2567,85,90,80,75,85
2664,85,90,80,75,80
2703,70,85,75,80,78
2738,85,90,80,75,85
3184,85,90,80,75,85
3193,75,85,80,90,85
3308,85,90,80,75,88
3382,70,85,75,80,78
3593,85,90,80,75,85
3843,85,90,80,75,80
4010,75,85,80,90,85
4378,85,90,80,75,85
4480,60,70,75,80,85
4871,85,90,80,75,85
5162,85,90,80,75,80
5270,75,85,80,90,85
5568,85,90,80,75,85
5943,85,90,80,75,85
5977,85,90,80,75,88
6048,60,70,75,80,85
6260,75,85,80,90,85
6556,70,85,75,80,78
6739,85,90,80,75,80
6896,70,85,75,80,78
7123,70,85,75,80,78
7202,70,85,75,80,78
7443,85,90,80,75,88
7474,70,85,75,80,78
7542,70,85,75,80,78
7636,85,90,80,75,88
7657,60,70,75,80,85
7751,70,85,75,80,78
7941,85,90,80,75,88
8104,85,90,80,75,85
8123,70,85,75,80,78
8333,60,70,75,80,85
8472,75,85,80,90,85
8483,75,85,80,90,85
8586,70,85,75,80,78
