id,Prediction Consistency,Hallucination Persistence,Market Interpretation Accuracy,User-Friendliness,Knowledge Utilization
152,85,90,80,75,85
537,75,85,80,90,85
583,70,85,75,80,78
787,75,85,80,90,85
1036,85,90,80,75,88
1055,85,90,80,75,85
1115,85,90,80,75,85
1349,60,70,75,80,85
1396,70,85,75,80,78
1469,85,90,80,75,88
1558,75,85,80,90,85
1810,85,90,80,75,85
1911,75,85,80,90,85
2045,70,85,75,80,78
2310,70,85,75,80,78
2341,85,90,80,75,85
2567,85,90,80,75,85
2664,85,90,80,75,88
2703,85,90,80,75,85
2738,85,90,80,75,85
3184,85,90,80,75,85
3193,75,85,80,90,85
3308,85,90,80,75,85
3382,85,90,80,75,85
3593,75,85,80,90,85
3843,85,90,80,75,88
4010,85,90,80,75,85
4378,85,90,80,75,88
4480,70,85,75,80,78
4871,75,85,80,90,85
5162,85,90,80,75,85
5270,85,90,80,75,85
5568,85,90,80,75,85
5943,85,90,80,75,85
5977,75,85,80,90,85
6048,60,70,75,80,85
6260,85,90,80,75,85
6556,70,85,75,80,78
6739,85,90,80,75,88
6896,85,90,80,75,85
7123,85,90,80,75,85
7202,75,85,80,90,85
7443,85,90,80,75,85
7474,70,85,75,80,78
7542,85,90,80,75,85
7636,85,90,80,75,85
7657,70,85,75,80,78
7751,85,90,80,75,85
7941,85,90,80,75,85
8104,85,90,80,75,85
8123,75,85,80,90,85
8333,70,85,75,80,78
8472,75,85,80,90,85
8483,75,85,80,90,85
8586,75,85,80,90,85
